name,mass (g),fall,year,reclat,reclong,GeoLocation
Chilkoot,43000.0,Found,1881.0,59.33333,-136.0,"(59.33333, -136.0)"
Chulafinnee,16220.0,Found,1873.0,33.5,-85.66667,"(33.5, -85.66667)"
Chupaderos,24300000.0,Found,1852.0,27.0,-105.1,"(27.0, -105.1)"
Cincinnati,1500.0,Found,1870.0,39.11667,-84.5,"(39.11667, -84.5)"
Clareton,1050.0,Found,1931.0,43.7,-104.7,"(43.7, -104.7)"
Clark County,11300.0,Found,1937.0,38.0,-84.16667,"(38.0, -84.16667)"
Cleburne,6800.0,Found,1907.0,32.31667,-97.41667,"(32.31667, -97.41667)"
Cleo Springs,24000.0,Found,1960.0,36.43333,-98.43333,"(36.43333, -98.43333)"
Cleveland,115000.0,Found,1860.0,34.88333,-84.78333,"(34.88333, -84.78333)"
Clifford,11360.0,Found,1962.0,39.1,-103.25833,"(39.1, -103.25833)"
Clinton,7700.0,Found,1950.0,36.08333,-84.2,"(36.08333, -84.2)"
Clover Springs,7700.0,Found,1954.0,34.45,-111.36667,"(34.45, -111.36667)"
Clovis (no. 1),283000.0,Found,1961.0,34.3,-103.13472,"(34.3, -103.13472)"
Clovis (no. 2),41300.0,Found,1963.0,34.3,-103.13333,"(34.3, -103.13333)"
Coahuila,2100000.0,Found,1837.0,28.7,-102.73333,"(28.7, -102.73333)"
Colby (Kansas),2400.0,Found,1940.0,39.41667,-101.05,"(39.41667, -101.05)"
Cold Bay,320.0,Found,1921.0,55.18333,-162.55,"(55.18333, -162.55)"
Coldwater (iron),18400.0,Found,1923.0,37.26667,-99.33333,"(37.26667, -99.33333)"
Coldwater (stone),16000.0,Found,1924.0,37.26667,-99.33333,"(37.26667, -99.33333)"
Colfax,2300.0,Found,1880.0,35.3,-81.73333,"(35.3, -81.73333)"
Comanche (iron),19700.0,Found,1940.0,32.01667,-98.7,"(32.01667, -98.7)"
Comanche (stone),2400.0,Found,1956.0,31.99167,-98.65167,"(31.99167, -98.65167)"
Concho,93500.0,Found,1939.0,32.0,-101.5,"(32.0, -101.5)"
Cookeville,2300.0,Found,1913.0,36.16667,-85.51667,"(36.16667, -85.51667)"
Coolidge,4500.0,Found,1937.0,38.03333,-101.98333,"(38.03333, -101.98333)"
