name,mass (g),fall,year,reclat,reclong,GeoLocation
Honolulu,2420.0,Fell,1825.0,21.3,-157.86667,"(21.3, -157.86667)"
Hotse,180.0,Fell,1956.0,35.66667,115.5,"(35.66667, 115.5)"
Hoxie,266.1,Fell,1963.0,39.35,-100.45,"(39.35, -100.45)"
Hungen,112.0,Fell,1877.0,50.3,8.91667,"(50.3, 8.91667)"
Hvittis,14000.0,Fell,1901.0,61.18333,22.68333,"(61.18333, 22.68333)"
Ibbenbüren,2000.0,Fell,1870.0,52.28333,7.7,"(52.28333, 7.7)"
Ibitira,2500.0,Fell,1957.0,-20.0,-45.0,"(-20.0, -45.0)"
Ichkala,3973.0,Fell,1936.0,58.2,82.93333,"(58.2, 82.93333)"
Idutywa,3457.0,Fell,1956.0,-32.1,28.33333,"(-32.1, 28.33333)"
Indarch,27000.0,Fell,1891.0,39.75,46.66667,"(39.75, 46.66667)"
Independence,880.0,Fell,1917.0,39.08333,-94.4,"(39.08333, -94.4)"
Inner Mongolia,3000.0,Fell,1963.0,41.0,112.0,"(41.0, 112.0)"
Ishinga,1300.0,Fell,1954.0,-8.93333,33.8,"(-8.93333, 33.8)"
Isthilart,3050.0,Fell,1928.0,-31.18333,-57.95,"(-31.18333, -57.95)"
Itapicuru-Mirim,2024.0,Fell,1879.0,-3.4,-44.33333,"(-3.4, -44.33333)"
Ivuna,704.5,Fell,1938.0,-8.41667,32.43333,"(-8.41667, 32.43333)"
Jackalsfontein,48000.0,Fell,1903.0,-32.5,21.9,"(-32.5, 21.9)"
Jajh deh Kot Lalu,973.0,Fell,1926.0,26.75,68.41667,"(26.75, 68.41667)"
Jamkheir,22.0,Fell,1866.0,18.75,75.33333,"(18.75, 75.33333)"
Jelica,34000.0,Fell,1889.0,43.83333,20.44167,"(43.83333, 20.44167)"
Jhung,5900.0,Fell,1873.0,31.3,72.38333,"(31.3, 72.38333)"
Jianshi,600000.0,Fell,1890.0,30.80833,109.5,"(30.80833, 109.5)"
Jodzie,30.0,Fell,1877.0,55.7,24.4,"(55.7, 24.4)"
Johnstown,40300.0,Fell,1924.0,40.35,-104.9,"(40.35, -104.9)"
Jonzac,5000.0,Fell,1819.0,45.43333,-0.45,"(45.43333, -0.45)"
Judesegeri,680.0,Fell,1876.0,12.85,76.8,"(12.85, 76.8)"
Juvinas,91000.0,Fell,1821.0,44.71667,4.3,"(44.71667, 4.3)"
Kaba,3000.0,Fell,1857.0,47.35,21.3,"(47.35, 21.3)"
Kadonah,89.0,Fell,1822.0,27.08333,78.33333,"(27.08333, 78.33333)"
Kaee,230.0,Fell,1838.0,27.25,79.96667,"(27.25, 79.96667)"
Kagarlyk,1900.0,Fell,1908.0,49.86667,30.83333,"(49.86667, 30.83333)"
Kainsaz,200000.0,Fell,1937.0,55.43333,53.25,"(55.43333, 53.25)"
Kakangari,350.0,Fell,1890.0,12.38333,78.51667,"(12.38333, 78.51667)"
Kakowa,577.0,Fell,1858.0,45.13333,21.66667,"(45.13333, 21.66667)"
